Temps;Rayon normalise;Diametre;rayon;Aire;Int dens GFP;Background;CTCF;CTCF normalisee GFP;Int dens DAPI;Background;CTCF;CTCF normalisee DAPI;Ratio normalise
223.56;0.963375796;68.6675;34.33375;6539.07;8009982.01;197.969;6715448.861;0.812986746;1431722.397;118.404;657470.3527;0.256918547;3.164375459
229.77;0.963375796;68.6675;34.33375;6539.07;7980043.257;197.875;6686124.781;0.80943671;1428317.901;118.353;654399.3493;0.255718497;3.165342829
235.98;0.963375796;68.6675;34.33375;6539.07;7994468.132;197.751;6701360.5;0.811281179;1425140.068;118.269;651770.7982;0.254691342;3.185350438
242.19;0.961783439;68.554;34.277;6539.07;7984960.979;198.025;6690061.642;0.809913315;1420162.057;118.348;646276.2006;0.252544228;3.207015741
248.4;0.961783439;68.554;34.277;6539.07;8029284.428;198.45;6731605.987;0.814942763;1421396.782;118.037;649544.5764;0.253821406;3.210693602
254.61;0.960191083;68.4405;34.22025;6539.07;7881254.87;196.655;6595314.059;0.798442968;1414994.058;118.105;642697.1957;0.251145666;3.179202647
260.82;0.960191083;68.4405;34.22025;6539.07;7931118.744;196.893;6643621.634;0.804291187;1415239.504;118.111;642903.4072;0.251226247;3.201461612
267.03;0.960191083;68.4405;34.22025;6539.07;7907413.429;196.768;6620733.703;0.801520325;1412193.096;118.129;639739.296;0.249989813;3.206211943
273.24;0.958598726;68.327;34.1635;6539.07;7923993.184;196.637;6638170.076;0.80363121;1417193.432;117.919;646112.8367;0.252480391;3.182945051
279.45;0.960191083;68.4405;34.22025;6539.07;7922997.257;196.879;6635591.694;0.803319065;1415055.507;118.138;642542.8553;0.251085355;3.199386378
285.66;0.960191083;68.4405;34.22025;6539.07;7907741.411;196.571;6622349.882;0.801715983;1414994.548;117.967;643600.0773;0.251498484;3.187756721
291.87;0.960191083;68.4405;34.22025;6539.07;7967100.883;197.114;6678158.639;0.808472311;1410133.726;118.122;637725.6995;0.249202964;3.244232331
298.08;0.960191083;68.4405;34.22025;6539.07;8003040.369;197.387;6712312.959;0.812607107;1414692.034;117.819;644265.3457;0.25175845;3.227725258
304.29;0.960191083;68.4405;34.22025;6539.07;7978882.514;196.87;6691535.803;0.81009178;1410421.194;117.961;639065.9577;0.249726694;3.243913444
310.5;0.958598726;68.327;34.1635;6539.07;7935743.253;196.753;6649161.613;0.804961869;1406705.81;117.852;636063.3324;0.248553363;3.238587715
316.71;0.958598726;68.327;34.1635;6539.07;7932327.253;196.428;6647870.811;0.804805602;1405346.681;117.806;635005.0006;0.248139801;3.243355556
322.92;0.957006369;68.2135;34.10675;6539.07;7969656.619;197.161;6680407.039;0.808744508;1411346.333;117.613;642266.6931;0.25097744;3.222379304
329.13;0.957006369;68.2135;34.10675;6539.07;7953628.315;196.706;6667354.012;0.80716428;1409252.142;117.752;639263.5714;0.249803915;3.231191471
335.34;0.957006369;68.2135;34.10675;6539.07;7972151.357;196.725;6685752.811;0.809391678;1409925.601;117.623;640780.5704;0.25039671;3.23243735
341.55;0.957006369;68.2135;34.10675;6539.07;7992228.076;197.028;6703848.192;0.811582344;1408863.163;117.777;638711.1156;0.249588033;3.25168773
347.76;0.957006369;68.2135;34.10675;6539.07;8042327.786;197.572;6750390.648;0.817216874;1411629.266;117.815;641228.734;0.250571838;3.261407508
353.97;0.957006369;68.2135;34.10675;6539.07;8049528.694;197.685;6756852.641;0.817999177;1408037.513;117.894;637120.3944;0.24896643;3.285580224
360.18;0.957006369;68.2135;34.10675;6539.07;8053302.782;197.396;6762516.52;0.818684859;1408738.089;117.977;637278.2276;0.249028106;3.287519922
366.39;0.955414013;68.1;34.05;6539.07;8078910.689;197.505;6787411.669;0.821698719;1408298.868;117.837;637754.4764;0.249214209;3.297158391
372.6;0.955414013;68.1;34.05;6539.07;8081058.135;197.688;6788362.465;0.821813825;1413366.991;117.69;643783.8427;0.251570294;3.266736357
378.81;0.955414013;68.1;34.05;6539.07;8139801.835;198.411;6842378.417;0.828353113;1413853.335;117.715;644106.71;0.25169646;3.291079711
385.02;0.955414013;68.1;34.05;6539.07;8149289.536;198.279;6852729.275;0.82960621;1410976.2;118.124;638555.0953;0.249527065;3.324714333
391.23;0.955414013;68.1;34.05;6539.07;8180785.844;198.943;6879883.641;0.832893576;1412492.467;118.124;640071.3623;0.250119574;3.329981585
397.44;0.957006369;68.2135;34.10675;6539.07;8266796.325;199.901;6959629.693;0.842547805;1419314.972;118.077;647201.2036;0.25290569;3.331470343
403.65;0.957006369;68.2135;34.10675;6539.07;8279857.911;200.087;6971475.012;0.843981825;1417751.092;118.367;643740.9933;0.251553549;3.355078181
409.86;0.957006369;68.2135;34.10675;6539.07;8290634.146;200.004;6982793.99;0.845352125;1423011.779;118.25;649766.7515;0.253908225;3.32936094
416.07;0.957006369;68.2135;34.10675;6539.07;8348884.315;201.019;7034407.003;0.851600508;1424112.065;118.341;650271.9821;0.254105653;3.351363888
422.28;0.955414013;68.1;34.05;6539.07;8331591.27;200.811;7018474.084;0.849671634;1426976.897;118.194;654098.0574;0.255600761;3.324214019
428.49;0.955414013;68.1;34.05;6539.07;8322491.105;200.593;7010799.436;0.848742525;1426000.564;118.2;653082.49;0.25520391;3.32574264
434.7;0.953821656;67.9865;33.99325;6539.07;8376521.95;201.078;7061658.833;0.854899673;1427194.234;118.547;652007.1027;0.254783683;3.35539413
440.91;0.953821656;67.9865;33.99325;6539.07;8392169.351;201.458;7074821.387;0.856493161;1429531.37;118.16;656874.8588;0.256685847;3.336736987
447.12;0.953821656;67.9865;33.99325;6539.07;8455244.477;202.068;7133907.68;0.863646275;1432013.768;118.53;656937.8009;0.256710443;3.364281814
453.33;0.953821656;67.9865;33.99325;6539.07;8485251.004;202.012;7164280.395;0.867323261;1435016.041;118.357;661071.333;0.258325696;3.357479624
459.54;0.953821656;67.9865;33.99325;6539.07;8558672.51;202.995;7231273.995;0.875433651;1435821.413;118.578;660431.5705;0.258075697;3.392158426
465.75;0.953821656;67.9865;33.99325;6539.07;8551273.112;203.282;7221997.884;0.874310665;1433861.971;118.432;659426.8328;0.257683078;3.392968887
471.96;0.952229299;67.873;33.9365;6539.07;8666546.196;204.291;7330673.047;0.887467115;1439008.019;118.629;663284.684;0.259190604;3.423994169
478.17;0.952229299;67.873;33.9365;6539.07;8709054.497;204.835;7369624.094;0.892182613;1439436.972;118.801;662588.9169;0.25891872;3.445801886
484.38;0.952229299;67.873;33.9365;6539.07;8817177.57;205.998;7470142.228;0.904351556;1441067.633;118.884;663676.8351;0.259343844;3.487075469
490.59;0.952229299;67.873;33.9365;6539.07;8865212.975;206.73;7513391.034;0.90958735;1441324.866;119.031;662972.8248;0.259068739;3.510988448
496.8;0.952229299;67.873;33.9365;6539.07;8936704.076;207.664;7578774.644;0.917502831;1439678.025;119.182;660338.5843;0.258039361;3.555670058
503.01;0.952229299;67.873;33.9365;6539.07;9008621.18;208.442;7645604.351;0.925593379;1441166.595;118.994;663056.4994;0.259101436;3.572320527
509.22;0.952229299;67.873;33.9365;6539.07;9063708.717;209.128;7696206.086;0.931719335;1442622.92;119.27;662708.0411;0.25896527;3.597854397
515.43;0.952229299;67.873;33.9365;6539.07;9065306.529;209.099;7697993.531;0.931935727;1437783.715;119.255;657966.9222;0.257112591;3.624621117
521.64;0.952229299;67.873;33.9365;6539.07;9095535.068;209.489;7725671.833;0.935286522;1437940.222;119.545;656227.0989;0.256432723;3.647297855
527.85;0.952229299;67.873;33.9365;6539.07;9149145.784;209.928;7776411.897;0.941429223;1438906.635;119.262;659044.0687;0.257533506;3.655560161
534.06;0.952229299;67.873;33.9365;6539.07;9256689.477;211.007;7876899.934;0.953594522;1435638.537;119.426;654703.5632;0.255837374;3.72734643
540.27;0.952229299;67.873;33.9365;6539.07;9191192.99;210.307;7815980.796;0.94621952;1431552.274;119.371;650976.949;0.254381131;3.719692238
546.48;0.952229299;67.873;33.9365;6539.07;9180797.4;210.522;7804179.305;0.944790806;1434008.288;119.144;654917.3319;0.255920908;3.691729658
552.69;0.952229299;67.873;33.9365;6539.07;9243792.81;211.04;7863787.477;0.9520071;1429053.349;119.269;649145.0092;0.253665267;3.753005328
558.9;0.952229299;67.873;33.9365;6539.07;9245412.47;210.832;7866767.264;0.952367839;1427392.517;119.233;647719.5837;0.253108256;3.76268974
565.11;0.952229299;67.873;33.9365;6539.07;9293445.827;211.54;7910170.959;0.957622384;1428950.832;119.261;649094.8047;0.253645649;3.775433909
571.32;0.952229299;67.873;33.9365;6539.07;9312776.883;211.884;7927252.575;0.959690322;1429871.037;119.21;650348.5023;0.254135554;3.776293028
577.53;0.952229299;67.873;33.9365;6539.07;9315548.023;211.843;7930291.817;0.960058259;1424613.287;119.181;645280.3853;0.252155095;3.8074117
583.74;0.952229299;67.873;33.9365;6539.07;9338599.28;211.95;7952643.394;0.962764189;1427827.177;119.117;648912.7758;0.253574518;3.796770262
589.95;0.952229299;67.873;33.9365;6539.07;9370673.485;212.407;7981729.244;0.966285385;1424505.386;119.099;645708.6881;0.252322462;3.829565456
596.16;0.952229299;67.873;33.9365;6539.07;9354263.918;212.202;7966660.186;0.964461092;1427721.633;118.937;649984.2644;0.253993222;3.797192247
602.37;0.952229299;67.873;33.9365;6539.07;9362750.965;212.309;7974447.552;0.965403848;1425583.514;119.025;647270.7073;0.25293285;3.816838536
608.58;0.952229299;67.873;33.9365;6539.07;9428899.345;212.864;8036966.749;0.972972557;1424209.12;119.027;645883.2351;0.25239067;3.855025854
614.79;0.950636943;67.7595;33.87975;6539.07;9421624.582;212.842;8029835.845;0.972109274;1422976.481;119.175;643682.8138;0.251530815;3.864772095
621;0.950636943;67.7595;33.87975;6539.07;9387106.794;212.578;7997044.372;0.968139467;1422120.095;118.999;643977.3041;0.251645892;3.84722937
627.21;0.950636943;67.7595;33.87975;6539.07;9485135.322;213.265;8090580.558;0.97946316;1421417.845;119.028;643085.421;0.251297373;3.897625948
633.42;0.950636943;67.7595;33.87975;6539.07;9440785.399;213.024;8047806.551;0.974284847;1419919.716;119.075;641279.9558;0.250591854;3.887935025
639.63;0.950636943;67.7595;33.87975;6539.07;9452165.065;213.198;8058048.419;0.975524749;1415681.623;119.052;637192.2614;0.248994513;3.917856413
645.84;0.950636943;67.7595;33.87975;6539.07;9471809.985;213.405;8076339.752;0.977739137;1419286.85;119.041;640869.4181;0.250431429;3.904218976
652.05;0.950636943;67.7595;33.87975;6539.07;9483971.526;213.896;8085290.609;0.978822748;1417001.229;119.153;637851.4213;0.249252092;3.927039252
658.26;0.950636943;67.7595;33.87975;6539.07;9406235.393;212.296;8018016.988;0.970678458;1413763.223;118.718;637457.9107;0.24909832;3.89676838
664.47;0.950636943;67.7595;33.87975;6539.07;9397607.878;212.388;8008787.879;0.969561162;1412100.756;118.666;636135.4754;0.248581554;3.900374522
670.68;0.950636943;67.7595;33.87975;6539.07;9393779.17;212.215;8006090.43;0.969234603;1412552.227;118.671;636554.251;0.248745199;3.896495723
676.89;0.950636943;67.7595;33.87975;6539.07;9403109.269;212.252;8015178.583;0.970334834;1407353.736;118.899;629864.8521;0.246131194;3.942348058
683.1;0.950636943;67.7595;33.87975;6539.07;9355895.301;211.605;7972195.394;0.965131196;1404785.608;118.732;628388.7488;0.24555438;3.930417361
689.31;0.950636943;67.7595;33.87975;6539.07;9401989.737;212.101;8015046.451;0.970318838;1402522.312;118.695;626367.3984;0.2447645;3.964295632
695.52;0.950636943;67.7595;33.87975;6539.07;9349049.633;211.852;7963734.575;0.964106911;1406245.553;118.614;630620.304;0.246426401;3.912352367
701.73;0.949044586;67.646;33.823;6539.07;9404704.118;212.615;8014399.75;0.970240547;1404808.01;118.488;630006.6838;0.246186617;3.941077536
707.94;0.949044586;67.646;33.823;6539.07;9424559.971;212.608;8034301.376;0.972649881;1405439.292;118.72;629120.9016;0.245840482;3.956426844
714.15;0.949044586;67.646;33.823;6539.07;9430758.112;212.679;8040035.243;0.973344035;1403117.034;118.55;627910.2855;0.245367411;3.966883907
720.36;0.949044586;67.646;33.823;6539.07;9462266.452;213.188;8068215.197;0.976755561;1404029.342;118.43;629607.2819;0.246030544;3.970058135
726.57;0.949044586;67.646;33.823;6539.07;9441472.165;212.641;8050997.781;0.974671184;1398862.838;118.638;623080.6513;0.243480144;4.003082837
